 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250535 Damião
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";267;260;527
"De 5 a 9 anos";285;276;561
"De 10 a 14 anos";281;238;519
"De 15 a 19 anos";292;267;559
"De 20 a 24 anos";224;211;435
"De 25 a 29 anos";168;154;322
"De 30 a 34 anos";139;118;257
"De 35 a 39 anos";130;122;252
"De 40 a 44 anos";102;117;219
"De 45 a 49 anos";99;99;198
"De 50 a 54 anos";71;89;160
"De 55 a 59 anos";76;83;159
"De 60 a 64 anos";65;63;128
"De 65 a 69 anos";61;63;124
"De 70 a 74 anos";41;48;89
"De 75 a 79 anos";40;38;78
"De 80 anos ou mais";42;46;88
"Total";2383;2292;4675
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

