 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250540 Desterro
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";321;308;629
"De 5 a 9 anos";363;352;715
"De 10 a 14 anos";409;379;788
"De 15 a 19 anos";397;390;787
"De 20 a 24 anos";355;373;728
"De 25 a 29 anos";292;306;598
"De 30 a 34 anos";282;319;601
"De 35 a 39 anos";245;284;529
"De 40 a 44 anos";243;265;508
"De 45 a 49 anos";238;244;482
"De 50 a 54 anos";186;198;384
"De 55 a 59 anos";158;166;324
"De 60 a 64 anos";131;172;303
"De 65 a 69 anos";125;160;285
"De 70 a 74 anos";106;116;222
"De 75 a 79 anos";69;88;157
"De 80 anos ou mais";67;100;167
"Total";3987;4220;8207
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

