 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250610 Fagundes
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";679;632;1311
"De 5 a 9 anos";786;783;1569
"De 10 a 14 anos";852;801;1653
"De 15 a 19 anos";747;725;1472
"De 20 a 24 anos";386;433;819
"De 25 a 29 anos";294;345;639
"De 30 a 34 anos";313;367;680
"De 35 a 39 anos";260;299;559
"De 40 a 44 anos";218;267;485
"De 45 a 49 anos";247;286;533
"De 50 a 54 anos";240;283;523
"De 55 a 59 anos";197;246;443
"De 60 a 64 anos";183;221;404
"De 65 a 69 anos";136;157;293
"De 70 a 74 anos";131;148;279
"De 75 a 79 anos";106;117;223
"De 80 anos ou mais";140;156;296
"Total";5915;6266;12181
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

