 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250720 Itatuba
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";447;425;872
"De 5 a 9 anos";422;397;819
"De 10 a 14 anos";464;423;887
"De 15 a 19 anos";476;437;913
"De 20 a 24 anos";454;463;917
"De 25 a 29 anos";474;464;938
"De 30 a 34 anos";421;441;862
"De 35 a 39 anos";388;398;786
"De 40 a 44 anos";348;340;688
"De 45 a 49 anos";315;329;644
"De 50 a 54 anos";280;295;575
"De 55 a 59 anos";254;232;486
"De 60 a 64 anos";189;205;394
"De 65 a 69 anos";184;206;390
"De 70 a 74 anos";142;171;313
"De 75 a 79 anos";98;116;214
"De 80 anos ou mais";113;151;264
"Total";5469;5493;10962
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

