 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250730 Jacaraú
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";728;696;1424
"De 5 a 9 anos";784;763;1547
"De 10 a 14 anos";789;767;1556
"De 15 a 19 anos";793;742;1535
"De 20 a 24 anos";626;600;1226
"De 25 a 29 anos";477;474;951
"De 30 a 34 anos";437;453;890
"De 35 a 39 anos";403;411;814
"De 40 a 44 anos";363;345;708
"De 45 a 49 anos";284;284;568
"De 50 a 54 anos";255;288;543
"De 55 a 59 anos";259;286;545
"De 60 a 64 anos";229;262;491
"De 65 a 69 anos";193;221;414
"De 70 a 74 anos";129;160;289
"De 75 a 79 anos";127;127;254
"De 80 anos ou mais";156;134;290
"Total";7032;7013;14045
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

