 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251130 Piancó
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";678;652;1330
"De 5 a 9 anos";660;713;1373
"De 10 a 14 anos";807;711;1518
"De 15 a 19 anos";715;796;1511
"De 20 a 24 anos";747;800;1547
"De 25 a 29 anos";624;663;1287
"De 30 a 34 anos";524;571;1095
"De 35 a 39 anos";487;559;1046
"De 40 a 44 anos";429;484;913
"De 45 a 49 anos";332;431;763
"De 50 a 54 anos";331;363;694
"De 55 a 59 anos";282;340;622
"De 60 a 64 anos";225;290;515
"De 65 a 69 anos";191;299;490
"De 70 a 74 anos";128;167;295
"De 75 a 79 anos";115;115;230
"De 80 anos ou mais";139;162;301
"Total";7414;8116;15530
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

