 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251272 Pedro Régis
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";270;256;526
"De 5 a 9 anos";248;229;477
"De 10 a 14 anos";248;233;481
"De 15 a 19 anos";268;218;486
"De 20 a 24 anos";282;241;523
"De 25 a 29 anos";228;252;480
"De 30 a 34 anos";210;253;463
"De 35 a 39 anos";227;220;447
"De 40 a 44 anos";186;191;377
"De 45 a 49 anos";168;185;353
"De 50 a 54 anos";160;173;333
"De 55 a 59 anos";126;130;256
"De 60 a 64 anos";91;107;198
"De 65 a 69 anos";92;110;202
"De 70 a 74 anos";82;93;175
"De 75 a 79 anos";66;82;148
"De 80 anos ou mais";77;87;164
"Total";3029;3060;6089
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

