 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251276 Riachão do Poço
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";196;185;381
"De 5 a 9 anos";201;199;400
"De 10 a 14 anos";209;229;438
"De 15 a 19 anos";235;223;458
"De 20 a 24 anos";191;171;362
"De 25 a 29 anos";137;153;290
"De 30 a 34 anos";121;125;246
"De 35 a 39 anos";104;111;215
"De 40 a 44 anos";80;82;162
"De 45 a 49 anos";81;75;156
"De 50 a 54 anos";77;78;155
"De 55 a 59 anos";69;83;152
"De 60 a 64 anos";70;67;137
"De 65 a 69 anos";35;46;81
"De 70 a 74 anos";33;45;78
"De 75 a 79 anos";32;30;62
"De 80 anos ou mais";37;30;67
"Total";1908;1932;3840
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

