 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251330 Santa Helena
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";187;179;366
"De 5 a 9 anos";195;179;374
"De 10 a 14 anos";217;181;398
"De 15 a 19 anos";207;217;424
"De 20 a 24 anos";227;234;461
"De 25 a 29 anos";222;215;437
"De 30 a 34 anos";210;216;426
"De 35 a 39 anos";192;215;407
"De 40 a 44 anos";194;197;391
"De 45 a 49 anos";206;187;393
"De 50 a 54 anos";182;185;367
"De 55 a 59 anos";148;168;316
"De 60 a 64 anos";139;162;301
"De 65 a 69 anos";131;145;276
"De 70 a 74 anos";104;119;223
"De 75 a 79 anos";84;94;178
"De 80 anos ou mais";89;98;187
"Total";2934;2991;5925
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

