 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251392 São Bentinho
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";153;160;313
"De 5 a 9 anos";192;207;399
"De 10 a 14 anos";196;205;401
"De 15 a 19 anos";239;189;428
"De 20 a 24 anos";160;140;300
"De 25 a 29 anos";119;136;255
"De 30 a 34 anos";116;114;230
"De 35 a 39 anos";103;99;202
"De 40 a 44 anos";76;82;158
"De 45 a 49 anos";84;108;192
"De 50 a 54 anos";68;91;159
"De 55 a 59 anos";54;77;131
"De 60 a 64 anos";69;86;155
"De 65 a 69 anos";53;38;91
"De 70 a 74 anos";54;47;101
"De 75 a 79 anos";35;30;65
"De 80 anos ou mais";54;42;96
"Total";1825;1851;3676
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

