 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251394 São Domingos do Cariri
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";90;90;180
"De 5 a 9 anos";113;104;217
"De 10 a 14 anos";110;114;224
"De 15 a 19 anos";109;126;235
"De 20 a 24 anos";91;104;195
"De 25 a 29 anos";94;98;192
"De 30 a 34 anos";89;74;163
"De 35 a 39 anos";75;78;153
"De 40 a 44 anos";78;75;153
"De 45 a 49 anos";82;64;146
"De 50 a 54 anos";47;59;106
"De 55 a 59 anos";48;46;94
"De 60 a 64 anos";55;49;104
"De 65 a 69 anos";38;39;77
"De 70 a 74 anos";32;42;74
"De 75 a 79 anos";28;25;53
"De 80 anos ou mais";44;40;84
"Total";1223;1227;2450
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

