 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251396 São Domingos
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";93;89;182
"De 5 a 9 anos";87;85;172
"De 10 a 14 anos";98;94;192
"De 15 a 19 anos";114;105;219
"De 20 a 24 anos";106;115;221
"De 25 a 29 anos";117;111;228
"De 30 a 34 anos";117;111;228
"De 35 a 39 anos";127;125;252
"De 40 a 44 anos";115;111;226
"De 45 a 49 anos";101;97;198
"De 50 a 54 anos";109;83;192
"De 55 a 59 anos";90;80;170
"De 60 a 64 anos";58;81;139
"De 65 a 69 anos";59;76;135
"De 70 a 74 anos";49;72;121
"De 75 a 79 anos";39;51;90
"De 80 anos ou mais";46;62;108
"Total";1525;1548;3073
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

