 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251470 São José do Sabugi
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";136;122;258
"De 5 a 9 anos";153;150;303
"De 10 a 14 anos";166;180;346
"De 15 a 19 anos";193;171;364
"De 20 a 24 anos";190;163;353
"De 25 a 29 anos";177;166;343
"De 30 a 34 anos";170;156;326
"De 35 a 39 anos";165;141;306
"De 40 a 44 anos";133;141;274
"De 45 a 49 anos";123;129;252
"De 50 a 54 anos";113;115;228
"De 55 a 59 anos";91;90;181
"De 60 a 64 anos";76;77;153
"De 65 a 69 anos";70;70;140
"De 70 a 74 anos";51;52;103
"De 75 a 79 anos";35;40;75
"De 80 anos ou mais";43;55;98
"Total";2085;2018;4103
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

