 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251500 São Miguel de Taipu
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";320;325;645
"De 5 a 9 anos";342;358;700
"De 10 a 14 anos";350;363;713
"De 15 a 19 anos";341;345;686
"De 20 a 24 anos";347;300;647
"De 25 a 29 anos";293;272;565
"De 30 a 34 anos";264;243;507
"De 35 a 39 anos";197;202;399
"De 40 a 44 anos";198;206;404
"De 45 a 49 anos";151;149;300
"De 50 a 54 anos";136;129;265
"De 55 a 59 anos";112;112;224
"De 60 a 64 anos";92;101;193
"De 65 a 69 anos";83;90;173
"De 70 a 74 anos";71;77;148
"De 75 a 79 anos";26;45;71
"De 80 anos ou mais";65;75;140
"Total";3388;3392;6780
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

