 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251570 Serra Grande
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";119;113;232
"De 5 a 9 anos";117;107;224
"De 10 a 14 anos";121;109;230
"De 15 a 19 anos";117;114;231
"De 20 a 24 anos";132;134;266
"De 25 a 29 anos";147;135;282
"De 30 a 34 anos";141;134;275
"De 35 a 39 anos";119;120;239
"De 40 a 44 anos";96;92;188
"De 45 a 49 anos";94;79;173
"De 50 a 54 anos";89;81;170
"De 55 a 59 anos";71;76;147
"De 60 a 64 anos";50;63;113
"De 65 a 69 anos";46;55;101
"De 70 a 74 anos";42;40;82
"De 75 a 79 anos";29;33;62
"De 80 anos ou mais";38;36;74
"Total";1568;1521;3089
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

