 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251675 Tenório
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";141;133;274
"De 5 a 9 anos";157;153;310
"De 10 a 14 anos";175;153;328
"De 15 a 19 anos";176;146;322
"De 20 a 24 anos";134;122;256
"De 25 a 29 anos";94;95;189
"De 30 a 34 anos";70;83;153
"De 35 a 39 anos";70;65;135
"De 40 a 44 anos";68;57;125
"De 45 a 49 anos";50;56;106
"De 50 a 54 anos";52;47;99
"De 55 a 59 anos";46;34;80
"De 60 a 64 anos";28;33;61
"De 65 a 69 anos";22;25;47
"De 70 a 74 anos";22;21;43
"De 75 a 79 anos";18;20;38
"De 80 anos ou mais";19;28;47
"Total";1342;1271;2613
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

