 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 251680 Triunfo
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";435;420;855
"De 5 a 9 anos";503;490;993
"De 10 a 14 anos";512;541;1053
"De 15 a 19 anos";545;514;1059
"De 20 a 24 anos";441;412;853
"De 25 a 29 anos";282;298;580
"De 30 a 34 anos";266;293;559
"De 35 a 39 anos";238;278;516
"De 40 a 44 anos";218;262;480
"De 45 a 49 anos";216;244;460
"De 50 a 54 anos";208;225;433
"De 55 a 59 anos";172;194;366
"De 60 a 64 anos";156;177;333
"De 65 a 69 anos";133;160;293
"De 70 a 74 anos";93;101;194
"De 75 a 79 anos";79;68;147
"De 80 anos ou mais";84;73;157
"Total";4581;4750;9331
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

