 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260060 Alagoinha
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";703;680;1383
"De 5 a 9 anos";707;640;1347
"De 10 a 14 anos";636;575;1211
"De 15 a 19 anos";729;682;1411
"De 20 a 24 anos";626;596;1222
"De 25 a 29 anos";492;500;992
"De 30 a 34 anos";443;457;900
"De 35 a 39 anos";424;452;876
"De 40 a 44 anos";406;389;795
"De 45 a 49 anos";307;327;634
"De 50 a 54 anos";266;252;518
"De 55 a 59 anos";227;258;485
"De 60 a 64 anos";214;253;467
"De 65 a 69 anos";205;212;417
"De 70 a 74 anos";145;184;329
"De 75 a 79 anos";110;127;237
"De 80 anos ou mais";115;161;276
"Total";6755;6745;13500
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

