 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260150 Belém de Maria
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";547;518;1065
"De 5 a 9 anos";677;632;1309
"De 10 a 14 anos";652;606;1258
"De 15 a 19 anos";578;598;1176
"De 20 a 24 anos";513;535;1048
"De 25 a 29 anos";426;425;851
"De 30 a 34 anos";397;407;804
"De 35 a 39 anos";345;354;699
"De 40 a 44 anos";303;318;621
"De 45 a 49 anos";250;243;493
"De 50 a 54 anos";200;235;435
"De 55 a 59 anos";183;208;391
"De 60 a 64 anos";176;186;362
"De 65 a 69 anos";156;155;311
"De 70 a 74 anos";116;129;245
"De 75 a 79 anos";72;74;146
"De 80 anos ou mais";99;102;201
"Total";5690;5725;11415
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

