 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260210 Bom Conselho
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2203;2120;4323
"De 5 a 9 anos";2291;2175;4466
"De 10 a 14 anos";2466;2318;4784
"De 15 a 19 anos";2333;2289;4622
"De 20 a 24 anos";1993;2046;4039
"De 25 a 29 anos";1832;1935;3767
"De 30 a 34 anos";1663;1801;3464
"De 35 a 39 anos";1476;1616;3092
"De 40 a 44 anos";1247;1405;2652
"De 45 a 49 anos";1107;1290;2397
"De 50 a 54 anos";932;1143;2075
"De 55 a 59 anos";772;959;1731
"De 60 a 64 anos";724;905;1629
"De 65 a 69 anos";647;780;1427
"De 70 a 74 anos";499;606;1105
"De 75 a 79 anos";342;419;761
"De 80 anos ou mais";382;520;902
"Total";22909;24327;47236
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

