 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260270 Buenos Aires
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";621;598;1219
"De 5 a 9 anos";636;603;1239
"De 10 a 14 anos";589;588;1177
"De 15 a 19 anos";614;646;1260
"De 20 a 24 anos";667;691;1358
"De 25 a 29 anos";561;590;1151
"De 30 a 34 anos";443;451;894
"De 35 a 39 anos";411;389;800
"De 40 a 44 anos";354;360;714
"De 45 a 49 anos";321;316;637
"De 50 a 54 anos";251;276;527
"De 55 a 59 anos";213;247;460
"De 60 a 64 anos";171;217;388
"De 65 a 69 anos";149;152;301
"De 70 a 74 anos";105;100;205
"De 75 a 79 anos";70;69;139
"De 80 anos ou mais";82;84;166
"Total";6258;6377;12635
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

