 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260330 Calçado
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";598;589;1187
"De 5 a 9 anos";586;580;1166
"De 10 a 14 anos";662;562;1224
"De 15 a 19 anos";604;548;1152
"De 20 a 24 anos";517;534;1051
"De 25 a 29 anos";474;430;904
"De 30 a 34 anos";397;378;775
"De 35 a 39 anos";324;346;670
"De 40 a 44 anos";335;310;645
"De 45 a 49 anos";252;271;523
"De 50 a 54 anos";209;231;440
"De 55 a 59 anos";197;216;413
"De 60 a 64 anos";169;202;371
"De 65 a 69 anos";139;183;322
"De 70 a 74 anos";124;156;280
"De 75 a 79 anos";64;92;156
"De 80 anos ou mais";87;115;202
"Total";5738;5743;11481
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

