 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260340 Calumbi
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";302;285;587
"De 5 a 9 anos";312;313;625
"De 10 a 14 anos";315;350;665
"De 15 a 19 anos";331;339;670
"De 20 a 24 anos";286;273;559
"De 25 a 29 anos";220;220;440
"De 30 a 34 anos";191;192;383
"De 35 a 39 anos";170;165;335
"De 40 a 44 anos";124;142;266
"De 45 a 49 anos";105;133;238
"De 50 a 54 anos";100;120;220
"De 55 a 59 anos";90;112;202
"De 60 a 64 anos";84;105;189
"De 65 a 69 anos";68;78;146
"De 70 a 74 anos";45;59;104
"De 75 a 79 anos";39;48;87
"De 80 anos ou mais";39;55;94
"Total";2821;2989;5810
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

