 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260350 Camocim de São Félix
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";680;645;1325
"De 5 a 9 anos";777;768;1545
"De 10 a 14 anos";871;878;1749
"De 15 a 19 anos";868;854;1722
"De 20 a 24 anos";759;761;1520
"De 25 a 29 anos";715;711;1426
"De 30 a 34 anos";643;681;1324
"De 35 a 39 anos";559;625;1184
"De 40 a 44 anos";534;606;1140
"De 45 a 49 anos";472;500;972
"De 50 a 54 anos";363;413;776
"De 55 a 59 anos";324;372;696
"De 60 a 64 anos";278;322;600
"De 65 a 69 anos";239;267;506
"De 70 a 74 anos";193;263;456
"De 75 a 79 anos";153;171;324
"De 80 anos ou mais";167;208;375
"Total";8595;9045;17640
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

