 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260350 Camocim de São Félix
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";682;652;1334
"De 5 a 9 anos";702;656;1358
"De 10 a 14 anos";801;783;1584
"De 15 a 19 anos";852;846;1698
"De 20 a 24 anos";825;833;1658
"De 25 a 29 anos";702;740;1442
"De 30 a 34 anos";691;706;1397
"De 35 a 39 anos";627;681;1308
"De 40 a 44 anos";546;625;1171
"De 45 a 49 anos";534;614;1148
"De 50 a 54 anos";454;482;936
"De 55 a 59 anos";335;394;729
"De 60 a 64 anos";329;355;684
"De 65 a 69 anos";256;283;539
"De 70 a 74 anos";215;229;444
"De 75 a 79 anos";156;219;375
"De 80 anos ou mais";192;223;415
"Total";8899;9321;18220
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

