 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260450 Chã Grande
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";894;861;1755
"De 5 a 9 anos";1012;1011;2023
"De 10 a 14 anos";1010;1001;2011
"De 15 a 19 anos";1024;950;1974
"De 20 a 24 anos";977;1000;1977
"De 25 a 29 anos";898;922;1820
"De 30 a 34 anos";779;810;1589
"De 35 a 39 anos";634;652;1286
"De 40 a 44 anos";508;530;1038
"De 45 a 49 anos";472;483;955
"De 50 a 54 anos";415;431;846
"De 55 a 59 anos";368;378;746
"De 60 a 64 anos";302;333;635
"De 65 a 69 anos";250;257;507
"De 70 a 74 anos";195;206;401
"De 75 a 79 anos";127;130;257
"De 80 anos ou mais";141;161;302
"Total";10006;10116;20122
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

