 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260480 Cortês
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";602;517;1119
"De 5 a 9 anos";660;701;1361
"De 10 a 14 anos";690;723;1413
"De 15 a 19 anos";699;675;1374
"De 20 a 24 anos";604;620;1224
"De 25 a 29 anos";576;550;1126
"De 30 a 34 anos";464;514;978
"De 35 a 39 anos";421;419;840
"De 40 a 44 anos";344;388;732
"De 45 a 49 anos";321;316;637
"De 50 a 54 anos";256;259;515
"De 55 a 59 anos";194;209;403
"De 60 a 64 anos";172;164;336
"De 65 a 69 anos";122;117;239
"De 70 a 74 anos";104;87;191
"De 75 a 79 anos";48;69;117
"De 80 anos ou mais";54;82;136
"Total";6331;6410;12741
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

