 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260730 Ipubi
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1596;1524;3120
"De 5 a 9 anos";1516;1519;3035
"De 10 a 14 anos";1514;1519;3033
"De 15 a 19 anos";1569;1516;3085
"De 20 a 24 anos";1345;1326;2671
"De 25 a 29 anos";1257;1252;2509
"De 30 a 34 anos";1158;1177;2335
"De 35 a 39 anos";988;1022;2010
"De 40 a 44 anos";844;852;1696
"De 45 a 49 anos";732;740;1472
"De 50 a 54 anos";615;638;1253
"De 55 a 59 anos";464;510;974
"De 60 a 64 anos";367;406;773
"De 65 a 69 anos";315;376;691
"De 70 a 74 anos";248;309;557
"De 75 a 79 anos";196;249;445
"De 80 anos ou mais";219;286;505
"Total";14943;15221;30164
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

