 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260810 João Alfredo
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1184;1198;2382
"De 5 a 9 anos";1384;1394;2778
"De 10 a 14 anos";1627;1583;3210
"De 15 a 19 anos";1593;1490;3083
"De 20 a 24 anos";1347;1359;2706
"De 25 a 29 anos";1313;1365;2678
"De 30 a 34 anos";1115;1264;2379
"De 35 a 39 anos";995;1044;2039
"De 40 a 44 anos";820;909;1729
"De 45 a 49 anos";742;845;1587
"De 50 a 54 anos";605;721;1326
"De 55 a 59 anos";557;716;1273
"De 60 a 64 anos";545;646;1191
"De 65 a 69 anos";415;487;902
"De 70 a 74 anos";379;470;849
"De 75 a 79 anos";266;325;591
"De 80 anos ou mais";337;417;754
"Total";15224;16233;31457
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

