 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260860 Lagoa do Ouro
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";575;550;1125
"De 5 a 9 anos";578;532;1110
"De 10 a 14 anos";561;492;1053
"De 15 a 19 anos";556;528;1084
"De 20 a 24 anos";538;581;1119
"De 25 a 29 anos";464;538;1002
"De 30 a 34 anos";445;527;972
"De 35 a 39 anos";424;523;947
"De 40 a 44 anos";424;467;891
"De 45 a 49 anos";373;403;776
"De 50 a 54 anos";351;359;710
"De 55 a 59 anos";269;268;537
"De 60 a 64 anos";239;247;486
"De 65 a 69 anos";211;248;459
"De 70 a 74 anos";184;183;367
"De 75 a 79 anos";121;124;245
"De 80 anos ou mais";113;149;262
"Total";6426;6719;13145
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

