 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 260900 Macaparana
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1019;942;1961
"De 5 a 9 anos";1067;1023;2090
"De 10 a 14 anos";1205;1183;2388
"De 15 a 19 anos";1276;1256;2532
"De 20 a 24 anos";1150;1119;2269
"De 25 a 29 anos";1001;1027;2028
"De 30 a 34 anos";890;958;1848
"De 35 a 39 anos";773;842;1615
"De 40 a 44 anos";651;754;1405
"De 45 a 49 anos";579;653;1232
"De 50 a 54 anos";544;588;1132
"De 55 a 59 anos";478;564;1042
"De 60 a 64 anos";396;477;873
"De 65 a 69 anos";305;366;671
"De 70 a 74 anos";278;312;590
"De 75 a 79 anos";195;238;433
"De 80 anos ou mais";241;333;574
"Total";12048;12635;24683
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

