 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261030 Paranatama
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";510;487;997
"De 5 a 9 anos";515;493;1008
"De 10 a 14 anos";527;413;940
"De 15 a 19 anos";446;441;887
"De 20 a 24 anos";464;470;934
"De 25 a 29 anos";474;450;924
"De 30 a 34 anos";439;425;864
"De 35 a 39 anos";395;391;786
"De 40 a 44 anos";391;393;784
"De 45 a 49 anos";320;334;654
"De 50 a 54 anos";320;348;668
"De 55 a 59 anos";255;288;543
"De 60 a 64 anos";188;183;371
"De 65 a 69 anos";172;203;375
"De 70 a 74 anos";120;162;282
"De 75 a 79 anos";111;149;260
"De 80 anos ou mais";97;192;289
"Total";5744;5822;11566
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

