 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261080 Pedra
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1009;966;1975
"De 5 a 9 anos";996;936;1932
"De 10 a 14 anos";1065;977;2042
"De 15 a 19 anos";1054;1000;2054
"De 20 a 24 anos";1018;934;1952
"De 25 a 29 anos";950;871;1821
"De 30 a 34 anos";863;805;1668
"De 35 a 39 anos";769;769;1538
"De 40 a 44 anos";687;710;1397
"De 45 a 49 anos";628;684;1312
"De 50 a 54 anos";584;574;1158
"De 55 a 59 anos";434;456;890
"De 60 a 64 anos";357;386;743
"De 65 a 69 anos";319;340;659
"De 70 a 74 anos";238;271;509
"De 75 a 79 anos";168;235;403
"De 80 anos ou mais";176;236;412
"Total";11315;11150;22465
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

