 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261140 Primavera
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";714;679;1393
"De 5 a 9 anos";710;696;1406
"De 10 a 14 anos";720;671;1391
"De 15 a 19 anos";730;670;1400
"De 20 a 24 anos";632;574;1206
"De 25 a 29 anos";495;466;961
"De 30 a 34 anos";398;404;802
"De 35 a 39 anos";365;335;700
"De 40 a 44 anos";311;292;603
"De 45 a 49 anos";248;237;485
"De 50 a 54 anos";196;194;390
"De 55 a 59 anos";162;160;322
"De 60 a 64 anos";147;157;304
"De 65 a 69 anos";115;115;230
"De 70 a 74 anos";83;74;157
"De 75 a 79 anos";80;52;132
"De 80 anos ou mais";56;56;112
"Total";6162;5832;11994
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

