 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261210 Salgadinho
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";353;329;682
"De 5 a 9 anos";376;376;752
"De 10 a 14 anos";427;429;856
"De 15 a 19 anos";531;506;1037
"De 20 a 24 anos";333;370;703
"De 25 a 29 anos";301;278;579
"De 30 a 34 anos";229;213;442
"De 35 a 39 anos";181;235;416
"De 40 a 44 anos";181;192;373
"De 45 a 49 anos";140;142;282
"De 50 a 54 anos";142;152;294
"De 55 a 59 anos";108;126;234
"De 60 a 64 anos";102;107;209
"De 65 a 69 anos";93;73;166
"De 70 a 74 anos";65;71;136
"De 75 a 79 anos";41;40;81
"De 80 anos ou mais";39;38;77
"Total";3642;3677;7319
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

