 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261340 São José da Coroa Grande
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";985;943;1928
"De 5 a 9 anos";966;901;1867
"De 10 a 14 anos";975;910;1885
"De 15 a 19 anos";986;934;1920
"De 20 a 24 anos";934;919;1853
"De 25 a 29 anos";802;910;1712
"De 30 a 34 anos";749;879;1628
"De 35 a 39 anos";723;835;1558
"De 40 a 44 anos";631;760;1391
"De 45 a 49 anos";545;665;1210
"De 50 a 54 anos";491;601;1092
"De 55 a 59 anos";396;483;879
"De 60 a 64 anos";294;359;653
"De 65 a 69 anos";229;279;508
"De 70 a 74 anos";175;209;384
"De 75 a 79 anos";115;140;255
"De 80 anos ou mais";116;165;281
"Total";10112;10892;21004
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

