 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261500 Taquaritinga do Norte
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1123;1073;2196
"De 5 a 9 anos";1147;1044;2191
"De 10 a 14 anos";1206;1105;2311
"De 15 a 19 anos";1253;1278;2531
"De 20 a 24 anos";1281;1301;2582
"De 25 a 29 anos";1228;1255;2483
"De 30 a 34 anos";1188;1226;2414
"De 35 a 39 anos";1075;1114;2189
"De 40 a 44 anos";950;988;1938
"De 45 a 49 anos";853;864;1717
"De 50 a 54 anos";747;761;1508
"De 55 a 59 anos";597;609;1206
"De 60 a 64 anos";453;467;920
"De 65 a 69 anos";356;397;753
"De 70 a 74 anos";282;299;581
"De 75 a 79 anos";197;221;418
"De 80 anos ou mais";208;270;478
"Total";14144;14272;28416
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

