 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 261520 Terra Nova
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";448;456;904
"De 5 a 9 anos";404;412;816
"De 10 a 14 anos";460;405;865
"De 15 a 19 anos";435;449;884
"De 20 a 24 anos";418;371;789
"De 25 a 29 anos";305;293;598
"De 30 a 34 anos";272;284;556
"De 35 a 39 anos";250;236;486
"De 40 a 44 anos";179;184;363
"De 45 a 49 anos";146;142;288
"De 50 a 54 anos";143;132;275
"De 55 a 59 anos";102;127;229
"De 60 a 64 anos";99;99;198
"De 65 a 69 anos";69;80;149
"De 70 a 74 anos";66;80;146
"De 75 a 79 anos";45;44;89
"De 80 anos ou mais";59;81;140
"Total";3900;3875;7775
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

