 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270190 Chã Preta
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";464;425;889
"De 5 a 9 anos";458;435;893
"De 10 a 14 anos";439;396;835
"De 15 a 19 anos";398;371;769
"De 20 a 24 anos";363;339;702
"De 25 a 29 anos";320;277;597
"De 30 a 34 anos";241;250;491
"De 35 a 39 anos";204;200;404
"De 40 a 44 anos";183;175;358
"De 45 a 49 anos";143;148;291
"De 50 a 54 anos";132;133;265
"De 55 a 59 anos";107;123;230
"De 60 a 64 anos";95;105;200
"De 65 a 69 anos";66;80;146
"De 70 a 74 anos";58;49;107
"De 75 a 79 anos";30;31;61
"De 80 anos ou mais";38;42;80
"Total";3739;3579;7318
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

