 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270270 Feliz Deserto
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";203;218;421
"De 5 a 9 anos";221;224;445
"De 10 a 14 anos";248;250;498
"De 15 a 19 anos";253;250;503
"De 20 a 24 anos";204;202;406
"De 25 a 29 anos";186;197;383
"De 30 a 34 anos";165;173;338
"De 35 a 39 anos";133;145;278
"De 40 a 44 anos";105;131;236
"De 45 a 49 anos";129;114;243
"De 50 a 54 anos";89;96;185
"De 55 a 59 anos";74;82;156
"De 60 a 64 anos";58;68;126
"De 65 a 69 anos";45;44;89
"De 70 a 74 anos";33;40;73
"De 75 a 79 anos";22;28;50
"De 80 anos ou mais";27;24;51
"Total";2195;2286;4481
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

