 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270290 Girau do Ponciano
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2076;2014;4090
"De 5 a 9 anos";2089;1920;4009
"De 10 a 14 anos";1993;1993;3986
"De 15 a 19 anos";1886;1886;3772
"De 20 a 24 anos";1522;1508;3030
"De 25 a 29 anos";1053;1047;2100
"De 30 a 34 anos";947;951;1898
"De 35 a 39 anos";811;884;1695
"De 40 a 44 anos";662;747;1409
"De 45 a 49 anos";611;624;1235
"De 50 a 54 anos";516;511;1027
"De 55 a 59 anos";445;442;887
"De 60 a 64 anos";340;347;687
"De 65 a 69 anos";272;284;556
"De 70 a 74 anos";214;215;429
"De 75 a 79 anos";124;142;266
"De 80 anos ou mais";155;182;337
"Total";15716;15697;31413
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

