 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270310 Igaci
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1061;1015;2076
"De 5 a 9 anos";1139;1132;2271
"De 10 a 14 anos";1183;1143;2326
"De 15 a 19 anos";1200;1155;2355
"De 20 a 24 anos";1085;1172;2257
"De 25 a 29 anos";959;1112;2071
"De 30 a 34 anos";914;1054;1968
"De 35 a 39 anos";877;922;1799
"De 40 a 44 anos";678;761;1439
"De 45 a 49 anos";699;778;1477
"De 50 a 54 anos";588;642;1230
"De 55 a 59 anos";532;551;1083
"De 60 a 64 anos";457;542;999
"De 65 a 69 anos";410;429;839
"De 70 a 74 anos";311;337;648
"De 75 a 79 anos";182;205;387
"De 80 anos ou mais";187;290;477
"Total";12462;13240;25702
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

