 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270440 Major Isidoro
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1114;1097;2211
"De 5 a 9 anos";1141;1092;2233
"De 10 a 14 anos";1125;1151;2276
"De 15 a 19 anos";995;1008;2003
"De 20 a 24 anos";845;776;1621
"De 25 a 29 anos";567;562;1129
"De 30 a 34 anos";576;584;1160
"De 35 a 39 anos";459;539;998
"De 40 a 44 anos";393;443;836
"De 45 a 49 anos";326;380;706
"De 50 a 54 anos";309;313;622
"De 55 a 59 anos";284;318;602
"De 60 a 64 anos";228;254;482
"De 65 a 69 anos";215;223;438
"De 70 a 74 anos";136;138;274
"De 75 a 79 anos";88;103;191
"De 80 anos ou mais";127;138;265
"Total";8928;9119;18047
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

