 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270640 Pão de Açúcar
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1091;1043;2134
"De 5 a 9 anos";1157;1061;2218
"De 10 a 14 anos";1090;989;2079
"De 15 a 19 anos";1226;1187;2413
"De 20 a 24 anos";1224;1224;2448
"De 25 a 29 anos";961;1059;2020
"De 30 a 34 anos";841;952;1793
"De 35 a 39 anos";812;855;1667
"De 40 a 44 anos";693;755;1448
"De 45 a 49 anos";638;676;1314
"De 50 a 54 anos";589;594;1183
"De 55 a 59 anos";476;494;970
"De 60 a 64 anos";383;430;813
"De 65 a 69 anos";309;332;641
"De 70 a 74 anos";247;268;515
"De 75 a 79 anos";161;228;389
"De 80 anos ou mais";172;277;449
"Total";12070;12424;24494
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

