 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270720 Poço das Trincheiras
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";720;686;1406
"De 5 a 9 anos";727;687;1414
"De 10 a 14 anos";717;688;1405
"De 15 a 19 anos";769;708;1477
"De 20 a 24 anos";762;713;1475
"De 25 a 29 anos";615;624;1239
"De 30 a 34 anos";509;517;1026
"De 35 a 39 anos";453;439;892
"De 40 a 44 anos";407;388;795
"De 45 a 49 anos";364;362;726
"De 50 a 54 anos";352;343;695
"De 55 a 59 anos";276;258;534
"De 60 a 64 anos";190;191;381
"De 65 a 69 anos";150;164;314
"De 70 a 74 anos";119;116;235
"De 75 a 79 anos";72;83;155
"De 80 anos ou mais";75;110;185
"Total";7277;7077;14354
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

