 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 270790 Santa Luzia do Norte
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";291;277;568
"De 5 a 9 anos";290;276;566
"De 10 a 14 anos";329;310;639
"De 15 a 19 anos";368;367;735
"De 20 a 24 anos";333;346;679
"De 25 a 29 anos";278;303;581
"De 30 a 34 anos";257;285;542
"De 35 a 39 anos";263;282;545
"De 40 a 44 anos";242;285;527
"De 45 a 49 anos";198;231;429
"De 50 a 54 anos";150;190;340
"De 55 a 59 anos";128;163;291
"De 60 a 64 anos";116;142;258
"De 65 a 69 anos";100;113;213
"De 70 a 74 anos";81;72;153
"De 75 a 79 anos";55;44;99
"De 80 anos ou mais";57;50;107
"Total";3536;3736;7272
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

