 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280330 Japaratuba
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";683;711;1394
"De 5 a 9 anos";735;759;1494
"De 10 a 14 anos";921;849;1770
"De 15 a 19 anos";941;867;1808
"De 20 a 24 anos";839;842;1681
"De 25 a 29 anos";764;787;1551
"De 30 a 34 anos";694;675;1369
"De 35 a 39 anos";561;616;1177
"De 40 a 44 anos";521;569;1090
"De 45 a 49 anos";501;515;1016
"De 50 a 54 anos";397;410;807
"De 55 a 59 anos";325;337;662
"De 60 a 64 anos";270;262;532
"De 65 a 69 anos";215;206;421
"De 70 a 74 anos";144;146;290
"De 75 a 79 anos";98;119;217
"De 80 anos ou mais";113;158;271
"Total";8722;8828;17550
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

