 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280340 Japoatã
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";670;662;1332
"De 5 a 9 anos";701;667;1368
"De 10 a 14 anos";695;723;1418
"De 15 a 19 anos";701;679;1380
"De 20 a 24 anos";647;656;1303
"De 25 a 29 anos";576;543;1119
"De 30 a 34 anos";507;507;1014
"De 35 a 39 anos";414;395;809
"De 40 a 44 anos";386;359;745
"De 45 a 49 anos";300;301;601
"De 50 a 54 anos";212;240;452
"De 55 a 59 anos";204;234;438
"De 60 a 64 anos";195;197;392
"De 65 a 69 anos";159;137;296
"De 70 a 74 anos";112;108;220
"De 75 a 79 anos";72;75;147
"De 80 anos ou mais";76;95;171
"Total";6627;6578;13205
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

