 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280380 Malhada dos Bois
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";193;184;377
"De 5 a 9 anos";187;173;360
"De 10 a 14 anos";197;179;376
"De 15 a 19 anos";176;171;347
"De 20 a 24 anos";162;173;335
"De 25 a 29 anos";131;145;276
"De 30 a 34 anos";126;141;267
"De 35 a 39 anos";125;122;247
"De 40 a 44 anos";120;104;224
"De 45 a 49 anos";87;67;154
"De 50 a 54 anos";63;54;117
"De 55 a 59 anos";50;55;105
"De 60 a 64 anos";39;47;86
"De 65 a 69 anos";33;39;72
"De 70 a 74 anos";26;30;56
"De 75 a 79 anos";26;21;47
"De 80 anos ou mais";19;15;34
"Total";1760;1720;3480
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

