 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280420 Monte Alegre de Sergipe
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";705;675;1380
"De 5 a 9 anos";718;674;1392
"De 10 a 14 anos";759;700;1459
"De 15 a 19 anos";792;738;1530
"De 20 a 24 anos";702;663;1365
"De 25 a 29 anos";634;642;1276
"De 30 a 34 anos";541;545;1086
"De 35 a 39 anos";494;512;1006
"De 40 a 44 anos";466;465;931
"De 45 a 49 anos";394;422;816
"De 50 a 54 anos";313;274;587
"De 55 a 59 anos";222;225;447
"De 60 a 64 anos";196;212;408
"De 65 a 69 anos";159;155;314
"De 70 a 74 anos";110;108;218
"De 75 a 79 anos";71;73;144
"De 80 anos ou mais";75;85;160
"Total";7351;7168;14519
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

