 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280500 Pedra Mole
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";130;124;254
"De 5 a 9 anos";149;121;270
"De 10 a 14 anos";160;149;309
"De 15 a 19 anos";167;158;325
"De 20 a 24 anos";124;133;257
"De 25 a 29 anos";132;118;250
"De 30 a 34 anos";95;106;201
"De 35 a 39 anos";89;104;193
"De 40 a 44 anos";90;79;169
"De 45 a 49 anos";73;70;143
"De 50 a 54 anos";61;65;126
"De 55 a 59 anos";61;51;112
"De 60 a 64 anos";29;36;65
"De 65 a 69 anos";38;33;71
"De 70 a 74 anos";20;19;39
"De 75 a 79 anos";10;22;32
"De 80 anos ou mais";30;26;56
"Total";1458;1414;2872
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

