 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280520 Pinhão
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";240;229;469
"De 5 a 9 anos";236;233;469
"De 10 a 14 anos";230;239;469
"De 15 a 19 anos";246;258;504
"De 20 a 24 anos";277;307;584
"De 25 a 29 anos";255;296;551
"De 30 a 34 anos";257;279;536
"De 35 a 39 anos";226;238;464
"De 40 a 44 anos";206;224;430
"De 45 a 49 anos";187;230;417
"De 50 a 54 anos";184;221;405
"De 55 a 59 anos";148;168;316
"De 60 a 64 anos";120;150;270
"De 65 a 69 anos";117;126;243
"De 70 a 74 anos";89;101;190
"De 75 a 79 anos";62;67;129
"De 80 anos ou mais";50;80;130
"Total";3130;3446;6576
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

