 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280580 Riachão do Dantas
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";914;869;1783
"De 5 a 9 anos";1141;1156;2297
"De 10 a 14 anos";1161;1080;2241
"De 15 a 19 anos";1105;1034;2139
"De 20 a 24 anos";948;911;1859
"De 25 a 29 anos";834;798;1632
"De 30 a 34 anos";684;670;1354
"De 35 a 39 anos";662;623;1285
"De 40 a 44 anos";553;521;1074
"De 45 a 49 anos";429;397;826
"De 50 a 54 anos";324;347;671
"De 55 a 59 anos";315;340;655
"De 60 a 64 anos";255;318;573
"De 65 a 69 anos";219;255;474
"De 70 a 74 anos";152;190;342
"De 75 a 79 anos";91;131;222
"De 80 anos ou mais";152;163;315
"Total";9939;9803;19742
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

