 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280610 Rosário do Catete
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";472;452;924
"De 5 a 9 anos";476;460;936
"De 10 a 14 anos";460;486;946
"De 15 a 19 anos";509;504;1013
"De 20 a 24 anos";473;497;970
"De 25 a 29 anos";405;502;907
"De 30 a 34 anos";425;493;918
"De 35 a 39 anos";374;421;795
"De 40 a 44 anos";333;390;723
"De 45 a 49 anos";307;327;634
"De 50 a 54 anos";229;255;484
"De 55 a 59 anos";171;192;363
"De 60 a 64 anos";123;152;275
"De 65 a 69 anos";87;105;192
"De 70 a 74 anos";53;75;128
"De 75 a 79 anos";36;50;86
"De 80 anos ou mais";35;54;89
"Total";4968;5415;10383
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

