 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280660 Santo Amaro das Brotas
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";633;624;1257
"De 5 a 9 anos";617;610;1227
"De 10 a 14 anos";595;587;1182
"De 15 a 19 anos";654;617;1271
"De 20 a 24 anos";606;566;1172
"De 25 a 29 anos";472;458;930
"De 30 a 34 anos";372;386;758
"De 35 a 39 anos";327;367;694
"De 40 a 44 anos";297;294;591
"De 45 a 49 anos";231;242;473
"De 50 a 54 anos";172;204;376
"De 55 a 59 anos";155;157;312
"De 60 a 64 anos";130;141;271
"De 65 a 69 anos";98;121;219
"De 70 a 74 anos";80;92;172
"De 75 a 79 anos";45;69;114
"De 80 anos ou mais";77;72;149
"Total";5561;5607;11168
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

