 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280730 Telha
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";127;121;248
"De 5 a 9 anos";127;122;249
"De 10 a 14 anos";129;118;247
"De 15 a 19 anos";127;124;251
"De 20 a 24 anos";152;175;327
"De 25 a 29 anos";154;164;318
"De 30 a 34 anos";129;127;256
"De 35 a 39 anos";109;140;249
"De 40 a 44 anos";123;145;268
"De 45 a 49 anos";97;94;191
"De 50 a 54 anos";87;89;176
"De 55 a 59 anos";65;77;142
"De 60 a 64 anos";49;42;91
"De 65 a 69 anos";44;43;87
"De 70 a 74 anos";30;28;58
"De 75 a 79 anos";19;23;42
"De 80 anos ou mais";21;28;49
"Total";1589;1660;3249
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

