 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 280740 Tobias Barreto
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1899;1816;3715
"De 5 a 9 anos";2109;2007;4116
"De 10 a 14 anos";2377;2288;4665
"De 15 a 19 anos";2544;2469;5013
"De 20 a 24 anos";2392;2382;4774
"De 25 a 29 anos";2066;2195;4261
"De 30 a 34 anos";1895;2006;3901
"De 35 a 39 anos";1711;1806;3517
"De 40 a 44 anos";1502;1653;3155
"De 45 a 49 anos";1391;1548;2939
"De 50 a 54 anos";1126;1282;2408
"De 55 a 59 anos";874;1062;1936
"De 60 a 64 anos";746;896;1642
"De 65 a 69 anos";651;731;1382
"De 70 a 74 anos";464;579;1043
"De 75 a 79 anos";326;426;752
"De 80 anos ou mais";350;509;859
"Total";24423;25655;50078
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

