 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290050 Érico Cardoso
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";369;345;714
"De 5 a 9 anos";423;467;890
"De 10 a 14 anos";511;496;1007
"De 15 a 19 anos";533;568;1101
"De 20 a 24 anos";568;519;1087
"De 25 a 29 anos";545;475;1020
"De 30 a 34 anos";381;384;765
"De 35 a 39 anos";364;333;697
"De 40 a 44 anos";330;346;676
"De 45 a 49 anos";307;263;570
"De 50 a 54 anos";252;266;518
"De 55 a 59 anos";199;232;431
"De 60 a 64 anos";221;238;459
"De 65 a 69 anos";154;181;335
"De 70 a 74 anos";149;158;307
"De 75 a 79 anos";91;128;219
"De 80 anos ou mais";132;152;284
"Total";5529;5551;11080
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

