 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290115 América Dourada
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";775;750;1525
"De 5 a 9 anos";807;780;1587
"De 10 a 14 anos";841;820;1661
"De 15 a 19 anos";823;828;1651
"De 20 a 24 anos";694;703;1397
"De 25 a 29 anos";609;597;1206
"De 30 a 34 anos";603;595;1198
"De 35 a 39 anos";548;539;1087
"De 40 a 44 anos";482;482;964
"De 45 a 49 anos";460;427;887
"De 50 a 54 anos";389;368;757
"De 55 a 59 anos";310;311;621
"De 60 a 64 anos";250;232;482
"De 65 a 69 anos";218;188;406
"De 70 a 74 anos";170;171;341
"De 75 a 79 anos";113;125;238
"De 80 anos ou mais";123;140;263
"Total";8215;8056;16271
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

