 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290265 Banzaê
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";519;533;1052
"De 5 a 9 anos";550;543;1093
"De 10 a 14 anos";615;586;1201
"De 15 a 19 anos";626;583;1209
"De 20 a 24 anos";552;510;1062
"De 25 a 29 anos";514;484;998
"De 30 a 34 anos";465;460;925
"De 35 a 39 anos";402;380;782
"De 40 a 44 anos";370;326;696
"De 45 a 49 anos";327;318;645
"De 50 a 54 anos";251;255;506
"De 55 a 59 anos";203;207;410
"De 60 a 64 anos";202;192;394
"De 65 a 69 anos";183;190;373
"De 70 a 74 anos";135;156;291
"De 75 a 79 anos";88;110;198
"De 80 anos ou mais";109;129;238
"Total";6111;5962;12073
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

