 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290290 Barra do Choça
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1306;1246;2552
"De 5 a 9 anos";1456;1409;2865
"De 10 a 14 anos";1508;1409;2917
"De 15 a 19 anos";1544;1443;2987
"De 20 a 24 anos";1442;1385;2827
"De 25 a 29 anos";1310;1302;2612
"De 30 a 34 anos";1319;1288;2607
"De 35 a 39 anos";1220;1208;2428
"De 40 a 44 anos";973;991;1964
"De 45 a 49 anos";846;848;1694
"De 50 a 54 anos";779;769;1548
"De 55 a 59 anos";660;686;1346
"De 60 a 64 anos";520;584;1104
"De 65 a 69 anos";455;487;942
"De 70 a 74 anos";389;416;805
"De 75 a 79 anos";278;330;608
"De 80 anos ou mais";302;340;642
"Total";16307;16141;32448
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

