 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290380 Boa Vista do Tupim
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";903;833;1736
"De 5 a 9 anos";1025;942;1967
"De 10 a 14 anos";1146;1035;2181
"De 15 a 19 anos";1100;1030;2130
"De 20 a 24 anos";862;831;1693
"De 25 a 29 anos";678;625;1303
"De 30 a 34 anos";565;569;1134
"De 35 a 39 anos";505;533;1038
"De 40 a 44 anos";487;520;1007
"De 45 a 49 anos";428;431;859
"De 50 a 54 anos";392;366;758
"De 55 a 59 anos";307;323;630
"De 60 a 64 anos";303;281;584
"De 65 a 69 anos";213;249;462
"De 70 a 74 anos";162;186;348
"De 75 a 79 anos";125;136;261
"De 80 anos ou mais";179;197;376
"Total";9380;9087;18467
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

