 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290450 Brotas de Macaúbas
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";594;577;1171
"De 5 a 9 anos";609;612;1221
"De 10 a 14 anos";600;614;1214
"De 15 a 19 anos";647;621;1268
"De 20 a 24 anos";545;496;1041
"De 25 a 29 anos";398;333;731
"De 30 a 34 anos";362;294;656
"De 35 a 39 anos";358;315;673
"De 40 a 44 anos";351;306;657
"De 45 a 49 anos";312;277;589
"De 50 a 54 anos";252;241;493
"De 55 a 59 anos";244;235;479
"De 60 a 64 anos";218;242;460
"De 65 a 69 anos";180;228;408
"De 70 a 74 anos";142;180;322
"De 75 a 79 anos";129;165;294
"De 80 anos ou mais";127;165;292
"Total";6068;5901;11969
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

