 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290700 Cardeal da Silva
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";431;410;841
"De 5 a 9 anos";462;433;895
"De 10 a 14 anos";543;510;1053
"De 15 a 19 anos";559;536;1095
"De 20 a 24 anos";469;457;926
"De 25 a 29 anos";412;389;801
"De 30 a 34 anos";364;362;726
"De 35 a 39 anos";293;291;584
"De 40 a 44 anos";232;244;476
"De 45 a 49 anos";212;229;441
"De 50 a 54 anos";177;180;357
"De 55 a 59 anos";134;144;278
"De 60 a 64 anos";109;109;218
"De 65 a 69 anos";101;89;190
"De 70 a 74 anos";78;68;146
"De 75 a 79 anos";53;49;102
"De 80 anos ou mais";57;82;139
"Total";4686;4582;9268
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

